,bedrooms,bathrooms,price,neighbourhood_cleansed,property_type,zestimate,ROI
107,2,2.0,239.0,Palo Alto,Condominium,2605097.0,-0.966401947843411
108,2,2.5,172.0,San Jose,Townhouse,716181.0,-0.9120479939496875
109,3,2.0,189.0,Santa Clara,Townhouse,1801861.0,-0.961586788581208
110,2,1.0,128.0,Sunnyvale,Townhouse,1299637.0,-0.9639315067306754
111,1,1.0,158.0,San Jose,Condominium,1975192.0,-0.9707053801401162
112,2,2.5,189.0,Milpitas,Townhouse,920963.0,-0.924844681555854
113,2,1.0,150.0,San Jose,Condominium,645669.0,-0.9149211871468321
114,3,2.0,220.0,Sunnyvale,Condominium,1621804.0,-0.9503219647440329
115,3,2.0,280.0,Milpitas,Condominium,1228829.0,-0.9165537783558939
116,1,1.0,150.0,San Jose,Condominium,591988.0,-0.9072063082087947
117,2,1.5,250.0,Palo Alto,Townhouse,4859421.0,-0.981159363081839
118,2,2.0,150.0,San Jose,Condominium,1524803.0,-0.9639738694007737
119,4,3.5,268.0,San Jose,Condominium,1232285.0,-0.9203540439627051
120,2,2.5,232.0,San Jose,Townhouse,800723.0,-0.8938925740217831
121,2,2.5,78.0,San Jose,Townhouse,1226551.0,-0.9767110939142621
122,2,1.0,122.0,Santa Clara,Condominium,1969408.0,-0.9773136707546524
123,3,3.5,180.0,San Jose,Townhouse,936941.0,-0.929644126557264
124,3,2.0,255.0,San Jose,Condominium,798654.0,-0.8830711692079968
125,2,2.0,150.0,Santa Clara,Condominium,1444951.0,-0.9619829655011886
126,4,3.5,400.0,Mountain View,Townhouse,1585408.0,-0.9076027503900707
127,3,2.0,550.0,San Jose,Townhouse,998982.0,-0.7983746546727859
128,1,1.5,55.0,San Jose,Townhouse,888004.0,-0.9773176595234175
129,1,1.0,89.0,Mountain View,Townhouse,1004729.0,-0.9675599760105646
130,2,2.5,150.0,San Jose,Townhouse,1033284.0,-0.946836734125282
131,3,3.0,250.0,San Jose,Townhouse,900506.0,-0.898329842673467
132,2,2.0,275.0,San Jose,Condominium,513454.0,-0.8038577061181031
133,3,2.0,148.0,Milpitas,Townhouse,1050634.0,-0.9484118015193262
134,4,3.5,750.0,Palo Alto,Townhouse,3229500.0,-0.9149516147761387
135,1,1.0,209.0,San Jose,Condominium,631018.0,-0.8787045148066222
136,2,1.5,160.0,Santa Clara,Condominium,1596609.0,-0.9633003850762262
137,2,2.0,189.0,Palo Alto,Condominium,3022675.0,-0.9771013200095029
138,2,1.0,165.0,San Jose,Townhouse,1464987.0,-0.9587531990265434
139,2,2.0,175.0,Palo Alto,Condominium,3705646.0,-0.9827052528262439
140,2,2.5,199.0,Santa Clara,Townhouse,1445382.0,-0.9495791071093902
141,3,3.0,300.0,Palo Alto,Townhouse,2249234.0,-0.9511542578352522
142,2,2.0,215.0,Palo Alto,Condominium,3246269.0,-0.9757454035520782
143,2,2.0,105.0,San Jose,Condominium,513336.0,-0.9250920909282332
144,2,2.0,230.0,Palo Alto,Condominium,2930261.0,-0.9712550452816292
145,2,1.0,350.0,Saratoga,Condominium,998888.0,-0.8716808877763257
