Rent,Neigh,latitude,longitude,Type,Zest,ROI,BPB
195.0,Neigh_South,37.3752,-121.85887,Townhouse,693348.0,-0.8970032687468346,4
183.0,Neigh_South,37.413000000000004,-121.86188999999999,Condominium,702484.0,-0.9045985994561694,5
250.0,Neigh_North,37.34391,-121.98096000000001,Condominium,718935.0,-0.8726524836132796,4
200.0,Neigh_South,37.40194,-121.92018999999999,Condominium,735330.0,-0.9003934704761272,4
168.0,Neigh_North,37.34437,-121.98284,Condominium,738659.0,-0.9167075981501299,4
95.0,Neigh_North,37.40109,-122.0701,Condominium,748008.0,-0.9534888090187204,2
125.0,Neigh_South,37.31984,-121.91103000000001,Condominium,768984.0,-0.9404704215604702,4
175.0,Neigh_North,37.42204,-121.90696000000001,Condominium,776825.0,-0.9174998092421836,4
158.0,Neigh_South,37.28175,-121.86038,Condominium,787630.0,-0.9265359384605925,4
80.0,Neigh_North,37.40378,-122.10274,Condominium,803045.0,-0.9635170286323733,2
173.0,Neigh_South,37.36244,-121.88968,Condominium,861402.0,-0.9264503983135716,5
184.0,Neigh_South,37.29492,-121.84505,Condominium,862548.0,-0.9218777670269872,5
320.0,Neigh_South,37.2848,-121.93805,Townhouse,875000.0,-0.8660687188940993,4
177.0,Neigh_North,37.4193,-121.90292,Condominium,900647.0,-0.9280287977653967,5
180.0,Neigh_South,37.367059999999995,-121.86513000000001,Condominium,928395.0,-0.9289964913433285,5
350.0,Neigh_North,37.39431,-121.95022,Condominium,941532.0,-0.8638639776758713,4
299.0,Neigh_South,37.333709999999996,-121.90813999999999,Condominium,946238.0,-0.8842793402025598,4
174.0,Neigh_South,37.29841,-121.86738000000001,Condominium,949748.0,-0.9329064211362732,6
200.0,Neigh_South,37.32136,-121.9115,Condominium,985674.0,-0.9256917912466095,4
189.0,Neigh_North,37.39889,-122.06512,Townhouse,992850.0,-0.9302862793571274,4
269.0,Neigh_South,37.37557,-121.87527,Townhouse,1000609.0,-0.9015472224593305,5
197.0,Neigh_South,37.32334,-121.90295,Condominium,1001942.0,-0.9279948197455865,5
177.0,Neigh_South,37.2962,-121.84565,Condominium,1015325.0,-0.9361577353271231,5
250.0,Neigh_North,37.41182,-122.09357,Condominium,1021476.0,-0.9103703007280769,4
161.0,Neigh_North,37.396,-122.06516,Condominium,1021807.0,-0.942297171745148,3
185.0,Neigh_North,37.40017,-122.10535,Condominium,1023821.0,-0.9338259381735868,4
200.0,Neigh_South,37.33475,-121.89414,Condominium,1044181.0,-0.9298553896740226,4
249.0,Neigh_North,37.409290000000006,-121.89582,Townhouse,1051419.0,-0.9132711427635292,5
199.0,Neigh_South,37.26422,-121.86346,Townhouse,1066626.0,-0.9316747847811553,5
208.0,Neigh_North,37.371959999999994,-122.05951999999999,Condominium,1067897.0,-0.9286696974249566,5
258.0,Neigh_North,37.38585,-122.01839,Townhouse,1089237.0,-0.9132564047423304,5
120.0,Neigh_South,37.293279999999996,-121.92788,Townhouse,1114155.0,-0.9605564740876505,3
157.0,Neigh_South,37.38197,-121.86506000000001,Condominium,1129903.0,-0.9491139677976697,4
130.0,Neigh_North,37.35971,-121.96287,Condominium,1145460.0,-0.9584373220534866,4
161.0,Neigh_North,37.3961,-121.94388000000001,Condominium,1184677.0,-0.9502301860924071,4
173.0,Neigh_North,37.40128,-122.01448,Condominium,1208851.0,-0.9475900884460592,4
210.0,Neigh_North,37.40681,-122.10623000000001,Townhouse,1227607.0,-0.9373530349513085,4
159.0,Neigh_South,37.323370000000004,-122.02356,Condominium,1243718.0,-0.9531817364249311,4
194.0,Neigh_South,37.39271,-121.90248999999999,Condominium,1244465.0,-0.9429101185857812,5
2000.0,Neigh_North,37.41342,-122.09246999999999,Condominium,1260176.0,-0.4187822228419727,4
250.0,Neigh_North,37.39467,-122.08593,Condominium,1271823.0,-0.9280131066245172,3
195.0,Neigh_North,37.39506,-121.95908,Condominium,1366779.0,-0.9477511890211074,4
339.0,Neigh_North,37.39973,-121.94861000000002,Townhouse,1388893.0,-0.9106136905028911,6
200.0,Neigh_North,37.41146,-122.09423999999999,Townhouse,1439552.0,-0.9491205115516568,5
190.0,Neigh_North,37.37112,-122.01552,Condominium,1451666.0,-0.9520678407519015,5
220.0,Neigh_North,37.396190000000004,-122.06736000000001,Townhouse,1507344.0,-0.9465496686288807,4
195.0,Neigh_North,37.3864,-122.0166,Townhouse,1565935.0,-0.9543962057039918,5
258.0,Neigh_North,37.39159,-122.05778000000001,Townhouse,1583978.0,-0.9403499711058623,5
350.0,Neigh_South,37.30924,-122.0306,Townhouse,1653835.0,-0.922497455084164,5
223.0,Neigh_North,37.394740000000006,-122.08563000000001,Condominium,1713001.0,-0.9523253685604444,3
490.0,Neigh_North,37.44412,-122.15975,Condominium,1714800.0,-0.8953539830188745,4
193.0,Neigh_North,37.35208,-122.01714,Condominium,1722200.0,-0.9589593886149276,5
250.0,Neigh_North,37.416129999999995,-122.12801,Townhouse,1791204.0,-0.9488865664137157,5
160.0,Neigh_North,37.3897,-122.07073000000001,Condominium,1808205.0,-0.967594970988449,2
350.0,Neigh_North,37.4028,-122.06508000000001,Townhouse,1838821.0,-0.9302942367033651,5
210.0,Neigh_North,37.40569,-122.10313000000001,Condominium,1917006.0,-0.9598823097984415,5
